               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066927,            0.021198,            0.023069,             0.76949,             0.48532,             0.55894,             0.31078,            0.045109,            0.017429,            0.010051,            0.019951,           0.0019259,           0.0019259
                   1,            0.058773,            0.019133,             0.01111,             0.78545,              0.6145,             0.65535,             0.35814,            0.042173,            0.016119,           0.0058009,           0.0025586,           0.0025586,           0.0025586
                   2,            0.055509,             0.01796,           0.0087898,             0.83975,             0.67804,             0.72969,             0.39772,            0.041547,            0.015202,           0.0042519,           0.0025586,           0.0025586,           0.0025586
                   3,            0.052857,            0.017236,           0.0073801,             0.82346,             0.69218,              0.7223,             0.39077,            0.040438,            0.015223,           0.0038053,           0.0025372,           0.0025372,           0.0025372
                   4,            0.051583,             0.01715,           0.0067459,             0.81854,             0.70719,             0.74531,             0.42635,            0.037992,            0.014668,           0.0036264,           0.0025158,           0.0025158,           0.0025158
                   5,            0.049398,            0.016692,            0.006047,             0.79269,             0.71776,             0.75452,             0.43445,             0.03737,            0.014567,            0.003264,           0.0024943,           0.0024943,           0.0024943
                   6,             0.04824,            0.016076,           0.0055626,             0.83783,             0.72191,             0.76582,             0.43614,            0.036858,            0.014134,           0.0027104,           0.0024729,           0.0024729,           0.0024729
                   7,            0.047147,            0.016079,           0.0049666,             0.83978,             0.75599,             0.78726,             0.45327,             0.03652,            0.013789,            0.002788,           0.0024515,           0.0024515,           0.0024515
                   8,            0.046025,            0.015739,           0.0046174,             0.85529,             0.73633,             0.80103,             0.46594,            0.035562,            0.013887,           0.0024085,           0.0024301,           0.0024301,           0.0024301
                   9,             0.04559,            0.015306,           0.0077544,              0.8446,             0.75943,             0.79238,             0.45238,            0.036493,            0.013363,           0.0024553,           0.0024087,           0.0024087,           0.0024087
                  10,            0.044083,            0.014956,           0.0041039,             0.88418,             0.76565,             0.82441,             0.47579,            0.035904,            0.013373,           0.0022152,           0.0023873,           0.0023873,           0.0023873
                  11,            0.043608,            0.014756,            0.004839,             0.85069,             0.78638,             0.82801,             0.48437,            0.035134,            0.013104,           0.0020951,           0.0023659,           0.0023659,           0.0023659
